model,sigma_bin,sigma_mean,median,q25,q75,mean,n
40dt sub1 MP1,"(6.248, 6.957]",6.527279439747662,0.8438131055555556,0.7590399455555557,0.9228399155555557,0.8145688427350427,13
40dt sub1 MP1,"(6.957, 7.66]",7.256288104587184,0.9456142172222222,0.8953365099999999,0.9909053555555555,0.9406276483333333,4
40dt sub1 MP1,"(7.66, 8.363]",8.100655740898025,0.9821326583333334,0.8835673197222222,1.0092541327777778,0.9396517059259258,6
40dt sub1 MP1,"(8.363, 9.066]",8.669316152039855,0.8938956666666666,0.832506496388889,0.9230289755555556,0.8812654445833333,8
40dt sub1 MP1,"(9.066, 9.769]",9.427637418535094,0.9722049377777778,0.9489232266666667,0.9776333177777777,0.9648578755555557,5
40dt sub1 MP1,"(9.769, 10.472]",10.260200504839837,1.1837923833333333,0.8877038063888888,1.3190534694444445,1.111893788148148,6
40dt sub1 MP1,"(10.472, 11.175]",10.913109279855993,1.0168465644444444,0.8837491155555556,1.1481237666666668,1.0093265957777777,5
40dt sub1 MP1,"(11.175, 11.877]",11.503218043435652,1.4472981444444446,1.140009945,1.4704426611111112,1.2578690225925928,3
40dt sub2 MP1,"(6.248, 6.957]",6.527279439747662,0.8477527566666666,0.7729511933333333,0.92345737,0.8370385191452991,13
40dt sub2 MP1,"(6.957, 7.66]",7.256288104587184,0.9527368777777777,0.8881109636111111,1.026353755,0.9617278408333332,4
40dt sub2 MP1,"(7.66, 8.363]",8.100655740898025,1.0804286333333333,0.8959142477777777,1.1290948722222223,1.0017349253703705,6
40dt sub2 MP1,"(8.363, 9.066]",8.669316152039855,0.9591754933333333,0.8963670480555554,0.9894207722222222,0.9388731654166667,8
40dt sub2 MP1,"(9.066, 9.769]",9.427637418535094,1.0660342555555555,1.0157582388888888,1.0768593333333334,1.059115933111111,5
40dt sub2 MP1,"(9.769, 10.472]",10.260200504839837,1.397628872222222,1.051308035,1.5723452361111112,1.3125710611111112,6
40dt sub2 MP1,"(10.472, 11.175]",10.913109279855993,1.1964768777777777,1.1484559444444444,1.4032883222222223,1.2296652364444445,5
40dt sub2 MP1,"(11.175, 11.877]",11.503218043435652,1.7176575444444444,1.3699040044444444,1.7282030055555555,1.4928521585185184,3
40dt sub2 MP2,"(6.248, 6.957]",6.527279439747662,0.8931953822222223,0.8158263655555555,0.98439733,0.8706207975213676,13
40dt sub2 MP2,"(6.957, 7.66]",7.256288104587184,0.9766208705555555,0.9151087258333334,1.0433086633333333,0.9817965186111111,4
40dt sub2 MP2,"(7.66, 8.363]",8.100655740898025,1.0276354933333334,0.8936182377777777,1.0529440847222222,0.9733068383333333,6
40dt sub2 MP2,"(8.363, 9.066]",8.669316152039855,0.9302241594444445,0.8723352058333332,0.9529933041666667,0.9222847440277777,8
40dt sub2 MP2,"(9.066, 9.769]",9.427637418535094,0.9999407833333334,0.9790075866666668,1.0847536033333334,1.0112526626666667,5
40dt sub2 MP2,"(9.769, 10.472]",10.260200504839837,1.2774804555555557,0.9488647466666668,1.3932655111111112,1.2000991368518519,6
40dt sub2 MP2,"(10.472, 11.175]",10.913109279855993,1.0623846555555554,0.9490377822222222,1.2209367333333334,1.0890750308888888,5
40dt sub2 MP2,"(11.175, 11.877]",11.503218043435652,1.4845152444444443,1.2140062922222221,1.5783606444444445,1.3667395429629632,3
