ensemble_member,mean_one_step_rmse,median_one_step_rmse,n_samples,model
50,0.0014143009946341464,0.0009934506,41,1dt
51,0.001466525542195122,0.0011347425,41,1dt
52,0.0013038892214634146,0.0010044831,41,1dt
53,0.0013085146970731707,0.001186215,41,1dt
54,0.0016508266875609756,0.0013035736,41,1dt
55,0.001099637392195122,0.0010145698,41,1dt
56,0.0017238183387804876,0.0011366025,41,1dt
57,0.0016320105729268294,0.0013881294,41,1dt
58,0.0012411747197560977,0.00094639644,41,1dt
59,0.0012248611948780489,0.0010647,41,1dt
60,0.0011831355026829268,0.0010032833,41,1dt
61,0.0012372051485365853,0.001031098,41,1dt
62,0.0011155101509756097,0.0009724205,41,1dt
63,0.0011521703587804878,0.0011004189,41,1dt
64,0.00130679049,0.00097020436,41,1dt
65,0.0009450173143902439,0.00087767956,41,1dt
66,0.001206849720487805,0.0010833539,41,1dt
67,0.0011522453085365855,0.00089344004,41,1dt
68,0.0011383421075609756,0.0011012118,41,1dt
69,0.001199248229512195,0.0011421529,41,1dt
70,0.0014390020385365854,0.00093661575,41,1dt
71,0.0014300452490243903,0.0010608885,41,1dt
72,0.001227200075609756,0.0009963873,41,1dt
73,0.0012783435512195122,0.0010777161,41,1dt
74,0.001129368673902439,0.0010004644,41,1dt
75,0.001440969888292683,0.0010950854,41,1dt
76,0.0009591355246341463,0.00087672035,41,1dt
77,0.0011152962295121953,0.0009415155,41,1dt
78,0.0017477054775609756,0.0011938836,41,1dt
79,0.001812031378292683,0.0012212474,41,1dt
80,0.0010234461858536585,0.0010268794,41,1dt
81,0.0015355292295121952,0.0010934222,41,1dt
82,0.0014671949553658537,0.0009858885,41,1dt
83,0.0015916303836585365,0.0010709249,41,1dt
84,0.0009077585117073172,0.00090263033,41,1dt
85,0.0009296148553658537,0.0009292126,41,1dt
86,0.0015557212912195124,0.0012986313,41,1dt
87,0.0018001453219512198,0.0011826907,41,1dt
88,0.0015877925570731706,0.0011807805,41,1dt
89,0.00100705429,0.0009317977,41,1dt
90,0.001265197996097561,0.001128164,41,1dt
91,0.001197124600487805,0.0010028037,41,1dt
92,0.0011303390168292684,0.0009082796,41,1dt
93,0.001145631742195122,0.001049025,41,1dt
94,0.0011160798346341464,0.00091699674,41,1dt
95,0.001214825074390244,0.0011549108,41,1dt
96,0.0011782649331707317,0.0010924962,41,1dt
97,0.0015441616402439024,0.0012946107,41,1dt
98,0.000986722227804878,0.00088445254,41,1dt
99,0.0012432219468292683,0.00088926876,41,1dt
50,0.05293843087804879,0.039541118,41,10dt
51,0.06564356170731707,0.051175058,41,10dt
52,0.056438952804878054,0.041749112,41,10dt
53,0.04980149992682927,0.039962836,41,10dt
54,0.048726430829268294,0.037094127,41,10dt
55,0.04621687424390244,0.037820686,41,10dt
56,0.06888061629268293,0.051063262,41,10dt
57,0.06174641002439024,0.055061486,41,10dt
58,0.05393103380487804,0.036174253,41,10dt
59,0.05032534519512196,0.03370214,41,10dt
60,0.04927550917073171,0.03693312,41,10dt
61,0.04884593092682927,0.036570292,41,10dt
62,0.04563128141463415,0.035134964,41,10dt
63,0.042349520073170735,0.03395814,41,10dt
64,0.05684633026829268,0.04430659,41,10dt
65,0.040732217731707314,0.036663275,41,10dt
66,0.04207663887804878,0.035845544,41,10dt
67,0.05120983343902439,0.037685744,41,10dt
68,0.047559794487804875,0.037146162,41,10dt
69,0.04888019465853659,0.03650014,41,10dt
70,0.05080062690243903,0.036416993,41,10dt
71,0.06433683453658537,0.048124995,41,10dt
72,0.04696625570731708,0.036469422,41,10dt
73,0.05170091536585366,0.03787677,41,10dt
74,0.05176473063414634,0.039595366,41,10dt
75,0.0601246128292683,0.048323825,41,10dt
76,0.047722986829268295,0.038387943,41,10dt
77,0.048179195975609754,0.038646504,41,10dt
78,0.07585752036585365,0.055749774,41,10dt
79,0.07360799565853658,0.053484745,41,10dt
80,0.045246201146341467,0.038122866,41,10dt
81,0.0674620973902439,0.047876786,41,10dt
82,0.056193725439024386,0.039601695,41,10dt
83,0.061169925926829266,0.05136683,41,10dt
84,0.03765957231707317,0.028988598,41,10dt
85,0.03577510219512195,0.027358774,41,10dt
86,0.05533450929268293,0.046227258,41,10dt
87,0.06314790534146342,0.046509005,41,10dt
88,0.06920326558536585,0.047936838,41,10dt
89,0.045939294268292685,0.035781454,41,10dt
90,0.04946691619512195,0.03945999,41,10dt
91,0.0499081788292683,0.036576133,41,10dt
92,0.05009888746341463,0.036519486,41,10dt
93,0.048557854048780484,0.035548028,41,10dt
94,0.04914371804878049,0.035796925,41,10dt
95,0.04914180624390244,0.038619626,41,10dt
96,0.04725163148780488,0.037406635,41,10dt
97,0.05210455485365854,0.044762056,41,10dt
98,0.04162372029268293,0.036021404,41,10dt
99,0.04849669370731707,0.037675045,41,10dt
50,0.1472448243414634,0.16114187,41,20dt
51,0.1483563253902439,0.15076439,41,20dt
52,0.1270521095609756,0.13864122,41,20dt
53,0.09692392229268293,0.08332376,41,20dt
54,0.1290958166585366,0.095848,41,20dt
55,0.09530036719512194,0.07976079,41,20dt
56,0.18813516297560975,0.19721723,41,20dt
57,0.15016628207317073,0.116816185,41,20dt
58,0.1341375513902439,0.11918765,41,20dt
59,0.09792152458536585,0.09930765,41,20dt
60,0.09025858017073171,0.078590386,41,20dt
61,0.09756773370731708,0.09675196,41,20dt
62,0.09270329314634146,0.08486516,41,20dt
63,0.10112275373170732,0.073902346,41,20dt
64,0.1325347966585366,0.11768827,41,20dt
65,0.08754394702439024,0.062871546,41,20dt
66,0.09897544509756097,0.073566355,41,20dt
67,0.10579196190243903,0.102749676,41,20dt
68,0.09385092368292683,0.0795544,41,20dt
69,0.09951670312195122,0.090837054,41,20dt
70,0.14501418768292682,0.13452987,41,20dt
71,0.12274751365853658,0.12072458,41,20dt
72,0.08857298302439025,0.08833876,41,20dt
73,0.10129402858536586,0.096268244,41,20dt
74,0.09800697507317073,0.08116184,41,20dt
75,0.16291765397560976,0.14620829,41,20dt
76,0.08761037551219512,0.067680806,41,20dt
77,0.0886819781707317,0.079110816,41,20dt
78,0.18189282541463414,0.18097357,41,20dt
79,0.18100262290243904,0.18297254,41,20dt
80,0.09566604443902439,0.077695616,41,20dt
81,0.13817064329268294,0.13912833,41,20dt
82,0.17604152929268294,0.160338,41,20dt
83,0.1644412802195122,0.159565,41,20dt
84,0.08597253068292683,0.06263231,41,20dt
85,0.0822151502195122,0.066464655,41,20dt
86,0.14791774656097562,0.11882957,41,20dt
87,0.16820755763414635,0.17528537,41,20dt
88,0.14086656397560976,0.14549837,41,20dt
89,0.08860880775609756,0.07336914,41,20dt
90,0.10358699239024391,0.079456806,41,20dt
91,0.09934160948780489,0.095118046,41,20dt
92,0.10355858407317073,0.09904081,41,20dt
93,0.09324261253658538,0.092718825,41,20dt
94,0.09563559487804878,0.09139235,41,20dt
95,0.11055865548780487,0.09059739,41,20dt
96,0.09221002,0.0721999,41,20dt
97,0.1333776453414634,0.1011881,41,20dt
98,0.09339891836585365,0.072996184,41,20dt
99,0.12983067480487803,0.13924307,41,20dt
50,0.33138026780487806,0.37215373,41,40dt
51,0.3606236319512195,0.36069682,41,40dt
52,0.29327695670731707,0.33327442,41,40dt
53,0.26823835975609756,0.25185895,41,40dt
54,0.3122513768292683,0.26310992,41,40dt
55,0.2668369668292683,0.2669105,41,40dt
56,0.3951759587804878,0.42139822,41,40dt
57,0.38726253902439023,0.38129038,41,40dt
58,0.3389477092682927,0.39874157,41,40dt
59,0.28260554914634145,0.26609534,41,40dt
60,0.22214912375609755,0.20313822,41,40dt
61,0.3069296184146342,0.30768463,41,40dt
62,0.24173619353658538,0.24357744,41,40dt
63,0.2643066543414634,0.25258148,41,40dt
64,0.3396973455121951,0.36974534,41,40dt
65,0.21956290621951222,0.20758627,41,40dt
66,0.2497858863414634,0.23659629,41,40dt
67,0.29554386419512196,0.29313824,41,40dt
68,0.2565047158536585,0.25752285,41,40dt
69,0.267716694,0.2812505,41,40dt
70,0.32394712595121955,0.37423396,41,40dt
71,0.3688550368292683,0.3824829,41,40dt
72,0.22778596146341465,0.24395429,41,40dt
73,0.29632807297560976,0.26457617,41,40dt
74,0.2807313692682927,0.24625789,41,40dt
75,0.38907511,0.41105476,41,40dt
76,0.2199218813414634,0.21658431,41,40dt
77,0.24137824826829268,0.22077666,41,40dt
78,0.4279020212195122,0.4518203,41,40dt
79,0.45271440195121954,0.44898546,41,40dt
80,0.20278625734146344,0.18722564,41,40dt
81,0.40841558634146335,0.4325049,41,40dt
82,0.39063500158536585,0.43436185,41,40dt
83,0.37549616975609756,0.40688807,41,40dt
84,0.20071014658536587,0.19358677,41,40dt
85,0.19679097936585366,0.16612785,41,40dt
86,0.3711955992682927,0.33948702,41,40dt
87,0.39780846853658536,0.4410354,41,40dt
88,0.4029060502439024,0.40836304,41,40dt
89,0.24170919758536588,0.23896518,41,40dt
90,0.2904545014634146,0.29318404,41,40dt
91,0.2810197275609756,0.2675778,41,40dt
92,0.26880978731707317,0.26262817,41,40dt
93,0.2390348768292683,0.26048568,41,40dt
94,0.28026886897560976,0.2519879,41,40dt
95,0.2975377312195122,0.30620232,41,40dt
96,0.24392360953658537,0.24777116,41,40dt
97,0.3256131182926829,0.28711322,41,40dt
98,0.23590378382926827,0.21519771,41,40dt
99,0.27147820268292683,0.2833125,41,40dt
50,0.3788156682926829,0.38446596,41,80dt
51,0.39851589487804884,0.38232824,41,80dt
52,0.33865147609756097,0.33741197,41,80dt
53,0.3300092968292683,0.34091866,41,80dt
54,0.4558750624390244,0.4644742,41,80dt
55,0.3544514912195122,0.3750984,41,80dt
56,0.44225615902439025,0.46694967,41,80dt
57,0.5122565236585366,0.46865395,41,80dt
58,0.3861203012195122,0.37834352,41,80dt
59,0.35508379219512193,0.34071103,41,80dt
60,0.29563456512195124,0.2935638,41,80dt
61,0.39035480097560976,0.3880352,41,80dt
62,0.32141122317073173,0.3118461,41,80dt
63,0.3464827948780488,0.36882317,41,80dt
64,0.41962980682926826,0.41242185,41,80dt
65,0.29376660585365855,0.27904955,41,80dt
66,0.30330730682926826,0.30222026,41,80dt
67,0.37039806853658536,0.37745154,41,80dt
68,0.3043158182926829,0.31285617,41,80dt
69,0.382968323902439,0.38015082,41,80dt
70,0.37813136268292685,0.3667684,41,80dt
71,0.47866590292682926,0.5132055,41,80dt
72,0.28600950268292685,0.26158464,41,80dt
73,0.3785920331707317,0.36765805,41,80dt
74,0.30799029024390245,0.2925994,41,80dt
75,0.45227126365853654,0.43842575,41,80dt
76,0.26650538390243905,0.26991513,41,80dt
77,0.32457273219512195,0.32952598,41,80dt
78,0.4543009658536586,0.45045707,41,80dt
79,0.5069357951219512,0.51299435,41,80dt
80,0.27235996097560977,0.26795813,41,80dt
81,0.4488199090243903,0.42345873,41,80dt
82,0.4476403851219512,0.4449699,41,80dt
83,0.4225653002439025,0.42832172,41,80dt
84,0.29384379243902436,0.2907797,41,80dt
85,0.27781853463414635,0.2629315,41,80dt
86,0.43176141902439025,0.4201161,41,80dt
87,0.4205985360975609,0.401336,41,80dt
88,0.46550933146341467,0.4542016,41,80dt
89,0.28994439902439023,0.27770692,41,80dt
90,0.3588017231707317,0.36127886,41,80dt
91,0.35502252756097563,0.351372,41,80dt
92,0.3348868507317073,0.33066407,41,80dt
93,0.32486157512195124,0.30778807,41,80dt
94,0.32509642609756095,0.29570445,41,80dt
95,0.4076413595121951,0.43952122,41,80dt
96,0.2968573317073171,0.2931036,41,80dt
97,0.42297809292682925,0.42203847,41,80dt
98,0.31699979170731707,0.32002378,41,80dt
99,0.32185101902439023,0.3198951,41,80dt
50,0.3757645058536585,0.3234742,41,90dt
51,0.40060007195121955,0.35495865,41,90dt
52,0.3497310992682927,0.32172716,41,90dt
53,0.3678469431707317,0.34447032,41,90dt
54,0.47804397439024393,0.45393166,41,90dt
55,0.36912070829268295,0.35891706,41,90dt
56,0.4351499168292683,0.41324928,41,90dt
57,0.5540597539024391,0.49439412,41,90dt
58,0.3838623558536585,0.3369595,41,90dt
59,0.3658378319512195,0.31964526,41,90dt
60,0.2975978880487805,0.271999,41,90dt
61,0.3938069314634146,0.3660904,41,90dt
62,0.31754228780487803,0.28934148,41,90dt
63,0.3646012112195122,0.3283672,41,90dt
64,0.4423904468292683,0.43392888,41,90dt
65,0.2790292148780488,0.257752,41,90dt
66,0.36410836975609756,0.30600944,41,90dt
67,0.376014933902439,0.3251019,41,90dt
68,0.31664675024390243,0.27902156,41,90dt
69,0.37471535682926826,0.325523,41,90dt
70,0.38040939219512193,0.3688176,41,90dt
71,0.5274991263414635,0.50279593,41,90dt
72,0.27832103853658535,0.24209529,41,90dt
73,0.37298205560975606,0.31990734,41,90dt
74,0.3265110075609756,0.28564882,41,90dt
75,0.44227940268292687,0.41170368,41,90dt
76,0.2703803868292683,0.23336692,41,90dt
77,0.3412456912195122,0.3143122,41,90dt
78,0.4653486975609756,0.45515755,41,90dt
79,0.515990587804878,0.49835092,41,90dt
80,0.26543035073170734,0.24033523,41,90dt
81,0.4494372278048781,0.41965556,41,90dt
82,0.4638176007317073,0.44120783,41,90dt
83,0.418961612195122,0.39576706,41,90dt
84,0.2710155275609756,0.23893203,41,90dt
85,0.2905816914634146,0.25628492,41,90dt
86,0.47161194463414635,0.40511316,41,90dt
87,0.4301305190243902,0.40228367,41,90dt
88,0.4568016209756097,0.4263627,41,90dt
89,0.290727987804878,0.26666948,41,90dt
90,0.3848450609756098,0.3505334,41,90dt
91,0.35139582414634146,0.3259123,41,90dt
92,0.34339442292682926,0.31600544,41,90dt
93,0.3316865063414634,0.3208518,41,90dt
94,0.32582132146341464,0.29650712,41,90dt
95,0.4766575707317073,0.4558488,41,90dt
96,0.3094485012195122,0.26478982,41,90dt
97,0.4524461029268293,0.3622478,41,90dt
98,0.3446481743902439,0.31679282,41,90dt
99,0.32762626902439024,0.3075743,41,90dt
