epoch,step,train_loss_epoch,train_loss_step
0,0,0.2484089583158493,
1,1,0.2383129596710205,
2,2,0.235801562666893,
3,3,0.2341303527355194,
4,4,0.23337888717651367,
5,5,0.23300984501838684,
6,6,0.2319839596748352,
7,7,0.23056693375110626,
8,8,0.2295222282409668,
9,9,0.2290768027305603,
10,10,0.2290746122598648,
11,11,0.22898052632808685,
12,12,0.22878070175647736,
13,13,0.22854477167129517,
14,14,0.22833086550235748,
15,15,0.22812145948410034,
16,16,0.22789855301380157,
17,17,0.227682426571846,
18,18,0.22750993072986603,
19,19,0.22735974192619324,
20,20,0.22715270519256592,
21,21,0.22685407102108002,
22,22,0.2264992594718933,
23,23,0.22621652483940125,
24,24,0.22602100670337677,
25,25,0.2258213758468628,
26,26,0.22559352219104767,
27,27,0.2253425419330597,
28,28,0.22505944967269897,
29,29,0.2247590273618698,
30,30,0.22449199855327606,
31,31,0.22427040338516235,
32,32,0.224053293466568,
33,33,0.22379855811595917,
34,34,0.22350625693798065,
35,35,0.22320722043514252,
36,36,0.22291962802410126,
37,37,0.22263868153095245,
38,38,0.22235871851444244,
39,39,0.22206689417362213,
40,40,0.22174832224845886,
41,41,0.22141073644161224,
42,42,0.22107622027397156,
43,43,0.22074231505393982,
44,44,0.22039037942886353,
45,45,0.2200159877538681,
46,46,0.21962447464466095,
47,47,0.2192179411649704,
48,48,0.21880196034908295,
49,49,,0.21837225556373596
49,49,0.21837225556373596,
